"filename", "language", "HTML", "JSON", "Markdown", "JavaScript", "SCSS", "YAML", "CSS", "XML", "Log", "comment", "blank", "total"
"c:\Users\HUAWEI\Desktop\qq-erp\package-lock.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\.eslintrc.json", "JSON", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 1, 80
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\.github\workflows\deploy.yml", "YAML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 4, 1, 38
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\.prettierrc.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\debug.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\document.md", "Markdown", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 16, 56
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\jsconfig.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\package-lock.json", "JSON", 0, 15277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15277
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\package.json", "JSON", 0, 50, 0, 0, 0, 0, 0, 0, 0, 24, 0, 74
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\public\index.html", "HTML", 17, 0, 0, 0, 0, 0, 0, 0, 0, 23, 1, 41
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\App.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\assets\icons\iconfont.css", "CSS", 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 2, 26
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\assets\icons\iconfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 3, 33, 69
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\assets\icons\index.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\assets\images\addLine.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\common\styles\reset.css", "CSS", 0, 0, 0, 0, 0, 0, 128, 0, 0, 6, 7, 141
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\common\styles\variable.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 7, 3, 17
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\components\authRouter\index.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 9, 3, 31
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\components\copyRight\index.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\components\copyRight\index.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\components\header\index.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\components\header\index.scss", "SCSS", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\components\logoHeader\index.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\components\logoHeader\index.scss", "SCSS", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\components\logout\index.js", "JavaScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 8, 59
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\components\logout\index.scss", "SCSS", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\components\messageCard\index.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\components\messageCard\index.scss", "SCSS", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\components\sideBar\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 4, 59
